DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,SANTA LUZIA,Mata Atlântica,12.0,0.0,0.28,9.4,-15.55896,-39.18457
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,8.0,0.37,0.79,43.0,-12.67144,-41.56548
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,SANTA LUZIA,Mata Atlântica,12.0,0.0,0.45,9.4,-15.55698,-39.16919
2026/01/01 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO JOÃO DA PONTE,Cerrado,0.0,0.2,0.17,45.7,-15.77529,-43.70058
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,ENCRUZILHADA,Mata Atlântica,14.0,0.0,0.31,30.7,-15.56401,-41.23895
2026/01/01 17:32:00,AQUA_M-T,Brasil,ESPÍRITO SANTO,CONCEIÇÃO DA BARRA,Mata Atlântica,-999.0,0.0,0.1,22.9,-18.50792,-39.88312
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,8.0,0.32,0.66,25.4,-12.67405,-41.58709
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,MASCOTE,Mata Atlântica,12.0,0.0,1.0,45.5,-15.80683,-39.34556
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,ALCOBAÇA,Mata Atlântica,-999.0,0.0,0.44,16.6,-17.51794,-39.5296
2026/01/01 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,SALINAS,Mata Atlântica,12.0,0.0,1.0,27.3,-16.13573,-42.2896
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,SANTA LUZIA,Mata Atlântica,12.0,0.0,0.28,17.4,-15.55695,-39.1797
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,ENCRUZILHADA,Mata Atlântica,16.0,0.0,0.19,20.2,-15.6902,-41.08145
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,ALCOBAÇA,Mata Atlântica,-999.0,0.0,0.97,14.9,-17.52479,-39.53572
2026/01/01 17:32:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,8.0,0.38,0.89,56.1,-12.67377,-41.5722
